Instruction,Input,Output,text
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Exploration Data System,EDS,DrillingCampaignPerformance,Performance data for different drilling campaigns including costs, timelines, and outcomes.,Operator,Oper,TEXT,NOT NULLABLE",Operator responsible for the drilling campaign,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Exploration Data System,EDS,DrillingCampaignPerformance,Performance data for different drilling campaigns including costs, timelines, and outcomes.,Operator,Oper,TEXT,NOT NULLABLE
### Response:
Operator responsible for the drilling campaign"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,ContractorPerformanceReviews,Reviews of contractor performance in refining operations focusing on safety and efficiency.,EfficiencyInitiatives,EInitiatives,TEXT,NULLABLE",Description of efficiency initiatives implemented by the contractor.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,ContractorPerformanceReviews,Reviews of contractor performance in refining operations focusing on safety and efficiency.,EfficiencyInitiatives,EInitiatives,TEXT,NULLABLE
### Response:
Description of efficiency initiatives implemented by the contractor."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,RefinerySafetyPrograms,Details of safety programs implemented in the refinery to protect workers and operations.,RiskAssessment,RAssessment,TEXT,NULLABLE",Assessment of risks associated with the safety program.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,RefinerySafetyPrograms,Details of safety programs implemented in the refinery to protect workers and operations.,RiskAssessment,RAssessment,TEXT,NULLABLE
### Response:
Assessment of risks associated with the safety program."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Customer Relationship Management System,CRMS,ServiceRequestLogs,Logs of customer service requests including resolution times and satisfaction ratings.,ContactMethod,CM,TEXT,NOT NULLABLE",Method used by customer to contact for the service request,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Customer Relationship Management System,CRMS,ServiceRequestLogs,Logs of customer service requests including resolution times and satisfaction ratings.,ContactMethod,CM,TEXT,NOT NULLABLE
### Response:
Method used by customer to contact for the service request"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Refining Process Information System,RPIS,ProcessOptimizationStudies,Studies aimed at optimizing refining processes for efficiency and product quality.,study_end_date,END_DATE,DATETIME,NULLABLE",End date of the study,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Refining Process Information System,RPIS,ProcessOptimizationStudies,Studies aimed at optimizing refining processes for efficiency and product quality.,study_end_date,END_DATE,DATETIME,NULLABLE
### Response:
End date of the study"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Human Resources Information System,HRIS,PerformanceReviewScores,Annual performance review scores and feedback for all employees.,Employee Name,EmpName,TEXT,NOT NULLABLE",Full name of the employee.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Human Resources Information System,HRIS,PerformanceReviewScores,Annual performance review scores and feedback for all employees.,Employee Name,EmpName,TEXT,NOT NULLABLE
### Response:
Full name of the employee."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Exploration Data System,EDS,WellLogAnalysis_2023,Logs from wells including geological strata encountered, porosity, and permeability measurements.,WellName,WN,TEXT,NOT NULLABLE",Name or label assigned to each well.,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Exploration Data System,EDS,WellLogAnalysis_2023,Logs from wells including geological strata encountered, porosity, and permeability measurements.,WellName,WN,TEXT,NOT NULLABLE
### Response:
Name or label assigned to each well."
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Environmental Impact Monitoring System,EIMS,WaterUsageAndQualityReports,Reports on water usage and quality, including wastewater treatment and recycling practices.,Location_ID,LocID,NUMBER,NOT NULLABLE",Unique identifier for each location where water is monitored,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Environmental Impact Monitoring System,EIMS,WaterUsageAndQualityReports,Reports on water usage and quality, including wastewater treatment and recycling practices.,Location_ID,LocID,NUMBER,NOT NULLABLE
### Response:
Unique identifier for each location where water is monitored"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Renewable Energy Project Database,REPD,RenewableTechInnovationProposals,Proposals for new renewable energy technologies and their potential impact.,Potential Impact,potential_impact,TEXT,NULLABLE",Potential impact of the technology on renewable energy sector,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Renewable Energy Project Database,REPD,RenewableTechInnovationProposals,Proposals for new renewable energy technologies and their potential impact.,Potential Impact,potential_impact,TEXT,NULLABLE
### Response:
Potential impact of the technology on renewable energy sector"
"You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 
","Safety Incident Tracking System,SITS,SafetyCultureSurveys,Results of surveys conducted to assess the safety culture within the organization.,Question5,Q5,TEXT,NULLABLE",Response to question 5 in the survey,"Below is an instruction that describes a task, paired with are task that provides further context. Write a response that appropriately completes the request.

### Instruction:
You are a column description generator. Given the following examples of Source System Name, Source System Acronym, Table Name, Table Description, ColumnNames, ColumnAcronyms, DataTypes, Nullability predict the Column Description 

### Input:
Safety Incident Tracking System,SITS,SafetyCultureSurveys,Results of surveys conducted to assess the safety culture within the organization.,Question5,Q5,TEXT,NULLABLE
### Response:
Response to question 5 in the survey"
